Username,Password,Jurisdiction,CaseType,idamId
sptribswa-regionalhearingcentreadmin@justice.gov.uk,Pa55w0rd19,ST_CIC,CriminalInjuriesCompensation,d57fbfb2-243c-4e41-a8cb-2b9c2251da1c
st-cw1@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,8bf16655-d34e-4c03-a928-8b647303915b
st-cw2@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,aae82e54-aabb-4628-bf97-beb81736b3a4
st-cw3@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,1d990960-6ef8-4bd7-84a8-ac534cf40e0d
st-cw4@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,a4ce46b3-c556-4fb6-ad2c-4ef780bf415c
st-cw5@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,bb7b7270-18d5-4892-9f4f-61a76ee90fce
st-cw6@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,8b2bb301-e3ef-4232-ba3c-d8b02ff88c62
st-cw7@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,54f3fd2e-1d40-455b-925d-ef3c105ee33d
st-cw8@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,62f28214-57dd-4692-9e5a-4b847d3f3763
st-cw9@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,7c97c0d3-9306-426d-bdba-8994e06157a3
st-cw10@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,3faf19f6-61e8-413e-b6f9-596ca249e571
st-cw11@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,5b1bc8cf-b934-42b5-a6f6-a1bfd96fbe23
st-cw12@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,263655f3-affb-4471-af6d-f45af65671d0
st-cw13@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,89c040ca-acb7-4736-a867-c26626b6f470
st-cw14@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,3a119d24-d8c2-40c3-bbce-92071b1129d2
st-cw15@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,1007878a-fc32-4ecf-978b-914fba225b0e
st-cw16@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,e92afc26-08a5-4030-b11f-1699c33343b1
st-cw17@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,5c2c9b4d-c3ce-4a0c-a4e5-abcdf117341a
st-cw18@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,09388730-649b-4322-ad28-ad1636439a92
st-cw19@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,20f16c5c-f3b0-415b-86da-8c22a033822d
st-cw20@gmail.com,Password12,ST_CIC,CriminalInjuriesCompensation,bbb884ba-e44a-4389-a9d3-088d15b5a1b3
